width,quality,repeat,frame_idx,payload_bytes,ok,client_e2e_ms,recv_ms,modal_ms,total_ms,network_ms,num_boxes,error
224,0.85,0,37,7469,True,24.7,1,23,23,1.7,1,
224,0.85,0,38,7461,True,24.1,1,23,23,1.1,1,
224,0.85,0,39,7589,True,24.4,1,23,23,1.4,1,
224,0.85,0,40,7411,True,24.6,1,23,23,1.6,1,
224,0.85,0,41,7793,True,24.0,1,23,23,1.0,1,
224,0.85,0,42,7545,True,24.9,1,23,23,1.9,1,
224,0.85,0,43,7624,True,24.0,1,23,23,1.0,2,
224,0.85,0,44,7617,True,24.3,1,23,23,1.3,1,
224,0.85,0,45,7824,True,24.3,1,23,23,1.3,1,
224,0.85,0,46,7730,True,24.4,1,23,23,1.4,1,
224,0.85,0,47,7793,True,27.0,1,26,26,1.0,1,
224,0.85,0,48,7940,True,27.2,1,25,25,2.2,2,
224,0.85,0,49,8024,True,20.9,1,19,19,1.9,0,
224,0.85,0,50,8330,True,25.2,1,24,24,1.2,0,
224,0.85,0,51,8490,True,24.0,1,22,22,2.0,0,
224,0.85,0,52,8742,True,23.6,1,22,22,1.6,0,
224,0.85,0,53,7941,True,22.7,1,21,21,1.7,0,
224,0.85,0,54,7424,True,24.4,2,22,22,2.4,0,
224,0.85,0,55,9089,True,24.3,1,23,23,1.3,0,
224,0.85,0,56,9704,True,24.6,1,23,23,1.6,0,
224,0.85,0,57,9692,True,26.6,1,25,25,1.6,0,
224,0.85,0,58,10405,True,25.2,1,24,24,1.2,0,
224,0.85,0,59,9784,True,24.8,1,23,23,1.8,0,
224,0.85,0,60,10496,True,25.0,1,23,23,2.0,0,
224,0.85,0,61,10146,True,27.4,1,26,26,1.4,0,
224,0.85,0,62,9268,True,25.9,1,24,24,1.9,0,
224,0.85,0,63,8844,True,25.2,1,24,24,1.2,0,
224,0.85,0,64,8811,True,23.6,1,22,22,1.6,0,
320,0.6,0,5,7577,True,23.2,1,22,22,1.2,0,
320,0.6,0,6,8339,True,23.7,1,22,22,1.7,0,
320,0.6,0,7,9319,True,22.9,1,21,21,1.9,0,
320,0.6,0,8,9551,True,25.2,2,24,24,1.2,1,
320,0.6,0,9,9073,True,23.0,1,21,21,2.0,0,
320,0.6,0,10,9573,True,24.8,1,23,23,1.8,0,
